company_row_index_in_original,description,business_tags,sector,category,niche,text
6701,the sinton barbershop is a barber shop located in sinton texas united states,barbershop services hair styling personal care services,services,barber shops,barber shops,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops
5376,gunfighter design custom knives is a company that specializes in designing and handcrafting custom knives and tools for hunting fishing and outdoor use the company was founded by a marine scout sniper and green beret sniper who believes that knives are one of the most important tools in the world they offer a variety of options for survival knives edc knives hunting knives and combat knives all of which are unique and specifically made to order customers can choose their blade finish handle material serial number and sheath and the company also offers custom cerakote and deep etching services lead times for custom designed knives are currently 4 6 months the founder of the company has over 25 years of experience working with steel building designing and fabricating elaborate chassis and suspensions,veterinary knives pops mk2p knife greenside knife axe wax veteran made knives custom leather sheaths manufacturer handcrafted functional art,manufacturing,kitchen furniture equipment,metal kitchen cookware utensil cutlery and flatware except precious manufacturing,gunfighter design custom knives is a company that specializes in designing and handcrafting custom knives and tools for hunting fishing and outdoor use the company was founded by a marine scout sniper and green beret sniper who believes that knives are one of the most important tools in the world they offer a variety of options for survival knives edc knives hunting knives and combat knives all of which are unique and specifically made to order customers can choose their blade finish handle material serial number and sheath and the company also offers custom cerakote and deep etching services lead times for custom designed knives are currently 4 6 months the founder of the company has over 25 years of experience working with steel building designing and fabricating elaborate chassis and suspensions | veterinary knives pops mk2p knife greenside knife axe wax veteran made knives custom leather sheaths manufacturer handcrafted functional art | manufacturing | kitchen furniture equipment | metal kitchen cookware utensil cutlery and flatware except precious manufacturing
519,the three traders team is a company that specializes in providing services related to trading they offer a range of products and services in this field,online education blogging platform educational courses educational services live classes,education,driving schools,automobile driving schools,the three traders team is a company that specializes in providing services related to trading they offer a range of products and services in this field | online education blogging platform educational courses educational services live classes | education | driving schools | automobile driving schools
8056,aday medical is a turkish medtech company that specializes in the development and sale of radiofrequency based technologies for pain management they offer radiofrequency ablation rfa systems used by physicians to treat patients with chronic pain rfa is a versatile outpatient procedure that is often used prior to scs in the treatment continuum for chronic pain and has a multi decade track record of providing relief for patients aday medical aims to improve patient outcomes and make pain relief accessible through their ever expanding medical device portfolio in the field of neuromodulation and pain management which includes radiofrequency technology,neuromodulation pain management services medical equipment manufacturing radiofrequency pain control medtech,manufacturing,medical supply manufacturers,electromedical and electrotherapeutic apparatus manufacturing,aday medical is a turkish medtech company that specializes in the development and sale of radiofrequency based technologies for pain management they offer radiofrequency ablation rfa systems used by physicians to treat patients with chronic pain rfa is a versatile outpatient procedure that is often used prior to scs in the treatment continuum for chronic pain and has a multi decade track record of providing relief for patients aday medical aims to improve patient outcomes and make pain relief accessible through their ever expanding medical device portfolio in the field of neuromodulation and pain management which includes radiofrequency technology | neuromodulation pain management services medical equipment manufacturing radiofrequency pain control medtech | manufacturing | medical supply manufacturers | electromedical and electrotherapeutic apparatus manufacturing
4566,the شیراز پیکان is an auto parts store located in shiraz fars province iran the store specializes in providing various automotive parts and accessories,online shopping automotive parts retailer,retail,auto parts store,automotive parts and accessories retailers,the شیراز پیکان is an auto parts store located in shiraz fars province iran the store specializes in providing various automotive parts and accessories | online shopping automotive parts retailer | retail | auto parts store | automotive parts and accessories retailers
2648,clear telcom advisors is a telecommunications consulting company based in dallas texas that specializes in providing network service evaluation negotiation and management services to its clients the company has partnered with top carriers in the industry to offer a streamlined approach to its services clear telcom consultants takes a consultative approach to make sound recommendations for its clients voice and data connectivity needs and negotiates aggressively on their behalf to get the best prices for their services additionally the company offers centralized billing services and routine audits to ensure that clients are always paying the appropriate rates for the services under contract,billing audits voice and data connectivity recommendations savings and spending analysis high level technical reviews projected savings options telecom consulting services,services,telecommunications,telecommunications resellers,clear telcom advisors is a telecommunications consulting company based in dallas texas that specializes in providing network service evaluation negotiation and management services to its clients the company has partnered with top carriers in the industry to offer a streamlined approach to its services clear telcom consultants takes a consultative approach to make sound recommendations for its clients voice and data connectivity needs and negotiates aggressively on their behalf to get the best prices for their services additionally the company offers centralized billing services and routine audits to ensure that clients are always paying the appropriate rates for the services under contract | billing audits voice and data connectivity recommendations savings and spending analysis high level technical reviews projected savings options telecom consulting services | services | telecommunications | telecommunications resellers
4740,zhishang biotechco ltd is a chinese company that specializes in providing advanced laboratory instruments and biotechnology to a wide range of users both domestically and internationally the company has a network of national clinical trial drug agencies covering various cities in china including beijing shanghai guangzhou chengdu chongqing nanning kunming lanzhou xi an wuhan nanchang hefei hangzhou and changchun the team is composed of highly qualified professionals with expertise in medicine pharmacy nursing statistics and gcp training and has rich experience in clinical trials the products offered by the company include the qpcr series pcr instrument series metal bath series grinding tester series and coolcell freezing series,germ free bio band membranes product technical research data management regenerative bio high tech industrialization demonstration project life science and technology grinding tester series g100 g200 high throughput tissue b hard brain membrane patch metal bath series medical biology laboratory services pcr instrument series test design clinical trial monitoring qpcr series statistical analysis,manufacturing,laboratory equipment supplies,analytical laboratory instrument manufacturing,zhishang biotechco ltd is a chinese company that specializes in providing advanced laboratory instruments and biotechnology to a wide range of users both domestically and internationally the company has a network of national clinical trial drug agencies covering various cities in china including beijing shanghai guangzhou chengdu chongqing nanning kunming lanzhou xi an wuhan nanchang hefei hangzhou and changchun the team is composed of highly qualified professionals with expertise in medicine pharmacy nursing statistics and gcp training and has rich experience in clinical trials the products offered by the company include the qpcr series pcr instrument series metal bath series grinding tester series and coolcell freezing series | germ free bio band membranes product technical research data management regenerative bio high tech industrialization demonstration project life science and technology grinding tester series g100 g200 high throughput tissue b hard brain membrane patch metal bath series medical biology laboratory services pcr instrument series test design clinical trial monitoring qpcr series statistical analysis | manufacturing | laboratory equipment supplies | analytical laboratory instrument manufacturing
3181,san bonani farm is a company that aims to support the agricultural industry in modernizing and transitioning from loss to profit they are currently in the process of obtaining funding to establish a dairy farm in panama the company s mission is to become the most efficient milk producer in the region by implementing european technologies and north american output farming practices they plan to purchase a 175 hectare working farm with 150 milking cows in the bouquete district of panama where they will implement modern farming practices to increase daily yields per cow from 17 to 35 liters of milk san bonani will also implement sophisticated nutrition analysis and feed monitoring to provide personalized diets for each cow based on her specific nutritional requirements the welfare of the animals will be of the utmost importance with land redeveloped and reseeded to increase digestibility and the use of high protein crops and meal substitutes the farm will also regenerate the future herd with a high quality breed imported internationally through embryo transplantation,robotic feeders modern farming principles dairy farm management traffic management robotic cleaners calf growths applications crop data scanning animal husbandry services feed monitoring nutritional analysis services embryo transplantation high quality breeding stock herd regeneration services call monitoring,manufacturing,livestock animal raising,dairy cattle and milk production,san bonani farm is a company that aims to support the agricultural industry in modernizing and transitioning from loss to profit they are currently in the process of obtaining funding to establish a dairy farm in panama the company s mission is to become the most efficient milk producer in the region by implementing european technologies and north american output farming practices they plan to purchase a 175 hectare working farm with 150 milking cows in the bouquete district of panama where they will implement modern farming practices to increase daily yields per cow from 17 to 35 liters of milk san bonani will also implement sophisticated nutrition analysis and feed monitoring to provide personalized diets for each cow based on her specific nutritional requirements the welfare of the animals will be of the utmost importance with land redeveloped and reseeded to increase digestibility and the use of high protein crops and meal substitutes the farm will also regenerate the future herd with a high quality breed imported internationally through embryo transplantation | robotic feeders modern farming principles dairy farm management traffic management robotic cleaners calf growths applications crop data scanning animal husbandry services feed monitoring nutritional analysis services embryo transplantation high quality breeding stock herd regeneration services call monitoring | manufacturing | livestock animal raising | dairy cattle and milk production
4113,messenger events is a company that provides outdoor cinema services in the bay area they offer large inflatable screens equipment and staffing for setting up and breaking down outdoor movie screens the company is dedicated to building community through well organized and creative events,team and employee management vendor agreement crowd control project management volunteer management marketing strategy and efforts city permitting services,services,event planner services,promoters of performing arts sports and similar events without facilities,messenger events is a company that provides outdoor cinema services in the bay area they offer large inflatable screens equipment and staffing for setting up and breaking down outdoor movie screens the company is dedicated to building community through well organized and creative events | team and employee management vendor agreement crowd control project management volunteer management marketing strategy and efforts city permitting services | services | event planner services | promoters of performing arts sports and similar events without facilities
8142,de la foret is a farm that specializes in ethical free range poultry and eggs they grow healthy birds on grass pastures using natural regenerative practices and feeding them on original loam forest soils the farm does not use antibiotics or gmo feeds and all animals are free roaming their main product is the american bresse a bird species native to france that is known for its red white and blue feathers the company focuses on providing high quality healthy eggs and poultry for customers health,,manufacturing,poultry egg farms,chicken egg production,de la foret is a farm that specializes in ethical free range poultry and eggs they grow healthy birds on grass pastures using natural regenerative practices and feeding them on original loam forest soils the farm does not use antibiotics or gmo feeds and all animals are free roaming their main product is the american bresse a bird species native to france that is known for its red white and blue feathers the company focuses on providing high quality healthy eggs and poultry for customers health | | manufacturing | poultry egg farms | chicken egg production
7261,sean geisbush is a musician and audio engineer from southern california with an eclectic taste in music and experience in studio recording and mixing he offers professional services for musical and audio needs,,services,art music publishers,other sound recording industries,sean geisbush is a musician and audio engineer from southern california with an eclectic taste in music and experience in studio recording and mixing he offers professional services for musical and audio needs | | services | art music publishers | other sound recording industries
